"Participant","numtextchecks","numtextssent","appropriateinclass","appropriateinbathroom","appropriateinreligserv","appropriateduringsex","appropriateondate","appropriateonphone","textedinclass","textedinbathroom","textedinreligserv","textedduringsex","textedondate","textedonphone","ethnicity"
"62",2.0,"26-50",1,5,3,1,5,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"63",4.0,"200+",3,3,1,4,3,1,"Yes","No","No","No","No","Yes","Asian"
"64",9.0,"51-100",3,5,2,1,4,3,"Yes","Yes","No","No","Yes","Yes","Black"
"65",15.0,"51-100",1,3,1,1,4,1,"Yes","Yes","No","No","No","Yes","Caucasian"
"66",17.0,"200+",2,2,1,1,2,4,"Yes","Yes","No","Yes","Yes","No","Caucasian"
"67",9.0,"51-100",2,4,2,1,5,2,"Yes","Yes","Yes","Yes","Yes","Yes","Caucasian"
"68",10.0,"100+",4,5,2,4,5,1,"Yes","No","No","No","Yes","No","Caucasian"
"69",9.0,"1-25",2,4,2,2,5,2,"Yes","Yes","No","Yes","Yes","Yes","Caucasian"
"70",30.0,"26-50",4,5,1,1,5,5,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"71",4.0,"100+",4,5,1,2,4,5,"Yes","No","No","No","No","Yes","Asian"
"72",11.0,"26-50",4,5,1,1,5,3,"Yes","Yes","No","No","Yes","No","Caucasian"
"73",12.0,"51-100",3,3,3,1,3,4,"No","Yes","No","No","Yes","Yes","Caucasian"
"74",14.0,"300+",4,5,1,1,4,4,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"75",12.0,"51-100",3,2,1,2,2,1,"Yes","Yes","No","No","Yes","No","Asian"
"76",6.0,"100+",4,2,1,1,5,3,"No","Yes","No","Yes","Yes","No","Black"
"77",20.0,"300+",1,5,1,1,5,1,"Yes","Yes","Yes","No","Yes","Yes","Black"
"78",36.0,"26-50",2,4,3,2,5,4,"Yes","Yes","No","No","No","Yes","Asian"
"79",10.0,"51-100",2,5,3,1,4,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"80",12.0,"26-50",2,5,1,1,5,4,"No","No","Yes","No","Yes","Yes","Caucasian"
"81",2.0,"100+",5,3,2,1,5,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"82",12.0,"51-100",3,5,1,3,5,2,"Yes","No","No","No","No","Yes","Asian"
"83",92.0,"100+",4,4,1,1,4,3,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"84",8.0,"26-50",4,5,1,2,5,2,"Yes","No","No","No","Yes","Yes","Caucasian"
"85",17.0,"1-25",1,3,1,1,5,4,"Yes","Yes","No","No","No","Yes","Caucasian"
"86",4.0,"51-100",3,4,1,1,4,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"87",16.0,"1-25",4,3,2,1,4,1,"No","Yes","No","No","Yes","Yes","Hispanic"
"88",13.0,"100+",4,2,1,2,4,1,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"89",94.0,"300+",2,3,1,1,5,4,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"90",35.0,"1-25",2,3,1,3,3,3,"Yes","Yes","No","No","No","Yes","Caucasian"
"91",88.0,"1-25",2,5,1,1,5,3,"Yes","Yes","Yes","No","Yes","Yes","Hispanic"
"92",13.0,"1-25",1,1,1,2,5,4,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"93",15.0,"26-50",1,3,4,2,5,3,"Yes","No","No","No","Yes","Yes","Caucasian"
"94",18.0,"200+",5,3,1,3,5,2,"Yes","Yes","No","No","Yes","Yes","Asian"
"95",2.0,"200+",3,2,1,4,5,3,"No","Yes","No","No","Yes","No","Asian"
"96",8.0,"51-100",2,4,1,1,5,4,"Yes","No","Yes","No","No","Yes","Hispanic"
"97",3.0,"51-100",4,2,1,1,5,3,"Yes","Yes","No","Yes","Yes","Yes","Caucasian"
"98",8.0,"None",2,5,2,1,4,3,"Yes","Yes","No","Yes","Yes","No","Caucasian"
"99",11.0,"26-50",2,2,2,1,4,5,"No","Yes","Yes","No","Yes","Yes","Asian"
"100",9.0,"300+",1,3,3,2,2,5,"Yes","Yes","No","No","Yes","Yes","Black"
"101",3.0,"51-100",4,5,1,1,4,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"102",16.0,"300+",2,5,2,1,3,4,"Yes","Yes","Yes","No","No","No","Caucasian"
"103",11.0,"51-100",1,4,1,1,2,4,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"104",8.0,"26-50",4,5,1,2,1,2,"Yes","Yes","No","No","No","Yes","Other"
"105",5.0,"26-50",2,4,2,1,4,2,"Yes","Yes","No","No","No","Yes","Caucasian"
"106",3.0,"26-50",2,3,2,3,5,4,"Yes","Yes","No","No","Yes","No","Asian"
"107",3.0,"51-100",4,2,1,1,4,2,"No","Yes","Yes","No","Yes","Yes","Asian"
