participant,ethnicity,numtextchecks,numtextssent,typeoftexter,inclass,inreligserv,ondate,onphone,appropriatesum
111,Hispanic,19,1 to 25,Typical texter,3,3,4,4,14
112,White,15,26 to 50,Typical texter,3,1,4,2,10
113,Hispanic,16,200+,Heavy texter,2,1,5,1,9
114,Asian,109,200+,Heavy texter,3,1,5,3,12
115,White,16,100+,Heavy texter,2,1,4,4,11
116,White,2,51 to 100,Heavy texter,2,1,2,3,8
117,White,16,26 to 50,Typical texter,4,5,4,4,17
118,White,15,26 to 50,Typical texter,2,1,2,5,10
119,Asian,7,1 to 25,Typical texter,1,1,5,5,12
120,Not Specified,31,100+,Heavy texter,2,2,2,3,9
121,Asian,8,51 to 100,Heavy texter,1,1,3,4,9
122,Asian,13,51 to 100,Heavy texter,2,2,1,5,10
123,White,16,100+,Heavy texter,4,1,4,3,12
124,White,18,200+,Heavy texter,3,1,5,2,11
125,Asian,2,1 to 25,Typical texter,2,1,4,3,10
126,White,10,51 to 100,Heavy texter,3,1,4,3,11
127,Black,11,1 to 25,Typical texter,3,3,5,4,15
128,Asian,17,100+,Heavy texter,3,1,5,2,11
129,Asian,10,300+,Heavy texter,2,4,4,4,14
130,Black,8,200+,Heavy texter,2,1,2,3,8
131,White,8,26 to 50,Typical texter,1,2,4,4,11
132,White,21,100+,Heavy texter,4,3,5,2,14
133,Asian,16,26 to 50,Typical texter,1,1,4,3,9
134,Hispanic,7,100+,Heavy texter,2,1,5,4,12
135,White,1,1 to 25,Typical texter,3,1,3,2,9
136,Asian,10,300+,Heavy texter,5,3,4,3,15
137,Asian,4,1 to 25,Typical texter,3,1,4,3,11
138,White,10,26 to 50,Typical texter,4,1,4,2,11
139,White,11,100+,Heavy texter,4,1,4,2,11
140,White,18,26 to 50,Typical texter,5,1,3,3,12
141,White,8,51 to 100,Heavy texter,5,2,4,4,15
142,Not Specified,4,51 to 100,Heavy texter,2,2,5,2,11
143,Asian,95,1 to 25,Typical texter,3,1,2,4,10
144,Asian,18,26 to 50,Typical texter,2,2,1,2,7
145,White,10,100+,Heavy texter,3,1,3,4,11
146,White,8,1 to 25,Typical texter,3,1,2,4,10
147,Black,6,51 to 100,Heavy texter,1,1,4,2,8
148,Hispanic,1,26 to 50,Typical texter,4,2,4,3,13
149,White,15,51 to 100,Heavy texter,4,1,4,4,13

150,White,10,200+,Heavy texter,3,1,5,3,12
